epoch	loss	acc	test_loss	test_acc	precision_score	recall	f1_score
0	2.5771262017692007	0.3488821138211382	3.2711383450415825	0.09481361426256078	0.09813587982908464	0.09481361426256078	0.09343556731270833
1	1.729085096498815	0.5178861788617887	2.6492313954137985	0.23905996758508913	0.21143257727607856	0.23905996758508913	0.23111625294837573
2	1.3542638820361315	0.6012195121951219	2.316094466178648	0.3213128038897893	0.30192324587686226	0.3213128038897893	0.3196479051753665
3	1.1298262656219606	0.6645325203252033	2.008350181964136	0.39829821717990277	0.3806154223358704	0.39829821717990277	0.3798550968932086
4	1.0173231025536855	0.696849593495935	1.725620706235209	0.4740680713128039	0.45502281412969564	0.4740680713128039	0.4582653667719317
5	0.9325333684925141	0.7195121951219512	1.4109855159636466	0.5680713128038898	0.553719598500405	0.5680713128038898	0.5560600025289001
6	0.8762718682851248	0.7322154471544715	1.3339254565777316	0.5919773095623987	0.571583444408954	0.5919773095623987	0.5794273448393463
7	0.8453867558056746	0.7435975609756098	1.2376043135120023	0.6397893030794165	0.6230407918899292	0.6397893030794165	0.6254704177942239
8	0.7895080103864515	0.7578252032520325	1.2820714267992204	0.61709886547812	0.6006239972479996	0.61709886547812	0.6037120801192226
9	0.7741124081175502	0.7574186991869919	1.1289165723708368	0.6600486223662885	0.6494846881440871	0.6600486223662885	0.6502087548542295
10	0.7334706959079921	0.7730691056910569	1.0986980336327707	0.6803079416531604	0.669543145790594	0.6803079416531604	0.6709676106134351
11	0.7187847722352035	0.7804878048780488	0.9124681342032648	0.713128038897893	0.706945774582574	0.713128038897893	0.70616108828184
12	0.696687673843973	0.783130081300813	0.9772906263028421	0.7009724473257699	0.6935041487197593	0.7009724473257699	0.6935207296534596
13	0.67682857964097	0.7876016260162602	0.8951327787291619	0.7285251215559158	0.7197498516963163	0.7285251215559158	0.7212468441095697
14	0.6558040997119454	0.7970528455284552	0.9087444800523019	0.7143435980551054	0.704396884685835	0.7143435980551054	0.7062974117868469
15	0.6381726257442459	0.8042682926829269	0.8784572423465791	0.7228525121555915	0.7123446107905788	0.7228525121555915	0.7147263270132441
16	0.6050496592269681	0.8109756097560976	0.6779395638454345	0.779578606158833	0.7713671281369413	0.779578606158833	0.7725902181534793
17	0.5642315924894519	0.8207317073170731	0.6358770658412287	0.7925445705024311	0.790101194374942	0.7925445705024311	0.7871173135906668
18	0.5386560263309053	0.8307926829268293	0.6442283968771657	0.7913290113452188	0.7863366382831034	0.7913290113452188	0.7867567786726372
19	0.5245201938217733	0.8321138211382114	0.5894524277217926	0.8059157212317666	0.8009669570084784	0.8059157212317666	0.801321721251728
20	0.511313620954752	0.8375	0.5513281799131824	0.8209076175040518	0.8181335782529625	0.8209076175040518	0.8167762415423713
21	0.5061216092630615	0.8409552845528455	0.5678521251726535	0.8152350081037277	0.8101561803959536	0.8152350081037277	0.810675524848984
22	0.51716851045688	0.8407520325203252	0.5173165134364559	0.8245542949756888	0.8203826894844246	0.8245542949756888	0.8201959629371135
23	0.4977107212068589	0.8407520325203252	0.543200694985928	0.8184764991896273	0.8177497952827086	0.8184764991896273	0.8134144626170607
24	0.48161180454904473	0.8512195121951219	0.5485456969468824	0.8172609400324149	0.8118730893003056	0.8172609400324149	0.8125873288490914
25	0.49683038753464936	0.8445121951219512	0.5126317036248023	0.8269854132901134	0.8245930123749425	0.8269854132901134	0.8237058182249023
26	0.4768250265438867	0.8462398373983739	0.48900023468079107	0.8383306320907618	0.8343706076329889	0.8383306320907618	0.8344102976158175
27	0.4697947649512349	0.8495934959349594	0.513094746561781	0.8282009724473258	0.8246969757566367	0.8282009724473258	0.8250729849617852
28	0.45896478727823353	0.8504065040650407	0.5251322302606798	0.8269854132901134	0.8225072288970948	0.8269854132901134	0.8225565925283842
29	0.4418603917810975	0.8545731707317074	0.4678387179009376	0.8427876823338736	0.8396112359316921	0.8427876823338736	0.8394325990225887
30	0.4428015722128434	0.8583333333333333	0.46729696352154976	0.8350891410048622	0.8317237177402818	0.8350891410048622	0.8313281156050296
31	0.4395239965217869	0.8569105691056911	0.5253153898062245	0.8229335494327391	0.8204087259286441	0.8229335494327391	0.8200240233292598
32	0.42385813396696637	0.865650406504065	0.3939179459887166	0.8622366288492707	0.8595966692169161	0.8622366288492707	0.8598495602929885
